"CountryCode","SeriesCode","DESCRIPTION",
"AFG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2015 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief.",
"AFG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"AFG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","IT.CEL.SETS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.CEL.SETS.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.MLT.MAIN","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.MLT.MAIN.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.NET.BBND","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.NET.BBND.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"AFG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","PA.NUS.PPP","Estimates are based on regression.",
"AFG","PA.NUS.PPPC.RF","Estimates are based on regression.",
"AFG","PA.NUS.PRVT.PP","Estimates are based on regression.",
"AFG","SH.XPD.EXTR.ZS","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.OOPC.TO.ZS","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.OOPC.ZS","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.PCAP","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.PCAP.PP.KD","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.PRIV.ZS","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.PUBL","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.PUBL.GX.ZS","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.PUBL.ZS","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SH.XPD.TOTL.ZS","Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ",
"AFG","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"AFG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"AFG","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"AFG","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"AFG","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"AFG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AFG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AGO","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2015 are based on reports provided by the country.",
"AGO","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AGO","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","IT.CEL.SETS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.CEL.SETS.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.MLT.MAIN","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.MLT.MAIN.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.NET.BBND","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.NET.BBND.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","SH.XPD.EXTR.ZS","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.OOPC.TO.ZS","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.OOPC.ZS","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.PCAP","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.PCAP.PP.KD","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.PRIV.ZS","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.PUBL","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.PUBL.GX.ZS","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.PUBL.ZS","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SH.XPD.TOTL.ZS","Some estimates should be viewed with caution as these are derived from scarce data.",
"AGO","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"AGO","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"AGO","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"AGO","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"AGO","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"AGO","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2015 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","IT.CEL.SETS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.NET.BBND","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SH.XPD.PCAP","Changes for per capita values are due to fluctuations in the US$ exchange rates.",
"ALB","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ALB","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"ALB","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ALB","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ALB","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ALB","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ALB","SP.POP.TOTL","Data sources : Institute of Statistics, Eurostat",
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AND","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"AND","SP.DYN.CBRT.IN","Data sources : Eurostat",
"AND","SP.DYN.CDRT.IN","Data sources : Eurostat",
"AND","SP.DYN.TFRT.IN","Data sources : Eurostat",
"AND","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.",
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ARE","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARE","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ARE","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ARE","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2015 are based on reports provided by the country. Short-term debt data for 2015 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.",
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","IQ.SCI.MTHD","The government of Argentina has declared a state of emergency in the national statistical system on 07 January 2016. As a consequence, Argentina's Instituto Nacional de Estadística y Censos (INDEC) has temporarily suspended publication of certain official statistics under its responsibility, pending re-organization. See the following link: https://www.boletinoficial.gob.ar/pdf/linkQR/QlFlS1dmVmpOWXMrdTVReEh2ZkU0dz09. The SCI Indicator may not reflect the latest development in Argentina.",
"ARG","IQ.SCI.OVRL","The government of Argentina has declared a state of emergency in the national statistical system on 07 January 2016. As a consequence, Argentina's Instituto Nacional de Estadística y Censos (INDEC) has temporarily suspended publication of certain official statistics under its responsibility, pending re-organization. See the following link: https://www.boletinoficial.gob.ar/pdf/linkQR/QlFlS1dmVmpOWXMrdTVReEh2ZkU0dz09. The SCI Indicator may not reflect the latest development in Argentina.",
"ARG","IQ.SCI.PRDC","The government of Argentina has declared a state of emergency in the national statistical system on 07 January 2016. As a consequence, Argentina's Instituto Nacional de Estadística y Censos (INDEC) has temporarily suspended publication of certain official statistics under its responsibility, pending re-organization. See the following link: https://www.boletinoficial.gob.ar/pdf/linkQR/QlFlS1dmVmpOWXMrdTVReEh2ZkU0dz09. The SCI Indicator may not reflect the latest development in Argentina.",
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones.",
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones.",
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones.",
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","PA.NUS.PPP","Estimates are based on regression.",
"ARG","PA.NUS.PPPC.RF","Estimates are based on regression.",
"ARG","PA.NUS.PRVT.PP","Estimates are based on regression.",
"ARG","SG.NOD.CONS","There is no nondiscrimination provision.",
"ARG","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ARG","SM.POP.REFG","The decrease in the refugee population in 1998 is mainly due to a verification of records.",
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ARG","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ARG","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ARG","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ARG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed debt data from 2011 are World Bank staff estimates. Short-term debt data for 2015 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","SH.XPD.PCAP","Changes for per capita values are due to fluctuations in the US$ exchange rates.",
"ARM","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ARM","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ARM","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ARM","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ASM","SP.DYN.CBRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ASM","SP.DYN.CDRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ASM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ASM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ATG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.MLT.MAIN","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.BBND","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.BBND.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ATG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ATG","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ATG","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ATG","SP.DYN.CBRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.CDRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ATG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AUS","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AUS","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUS","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUS","IT.CEL.SETS","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.CEL.SETS.P2","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.MLT.MAIN","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.MLT.MAIN.P2","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.NET.BBND","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.NET.BBND.P2","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.NET.USER.ZS","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","SG.MMR.LEVE.EP","No paid or unpaid maternity leave is available.",
"AUS","SG.NOD.CONS","There is no nondiscrimination provision.",
"AUS","SH.XPD.EXTR.ZS","About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
"AUS","SH.XPD.OOPC.TO.ZS","About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
"AUS","SH.XPD.OOPC.ZS","About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
"AUS","SH.XPD.PCAP","About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
"AUS","SH.XPD.PCAP.PP.KD","About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
"AUS","SH.XPD.PRIV.ZS","About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
